地區,大廈名單,個案最後到訪日期,相關個案編號
南區,嘉隆苑嘉昇閣,,13123
離島,竹篙灣檢疫中心,,13123
深水埗,石硤尾邨美如樓,,13124
葵青,長康邨康貴樓,,13125
葵青,葵涌邨逸葵樓,,13126
葵青,葵涌邨映葵樓,,13127
葵青,葵涌邨逸葵樓,,13128
葵青,葵涌邨逸葵樓,,13129
葵青,葵涌邨逸葵樓,,13130
葵青,葵涌邨逸葵樓,,13131
深水埗,南昌街35-37號,,13132
葵青,葵涌邨逸葵樓,,13133
葵青,葵涌邨逸葵樓,,13134
荃灣,悅來酒店,,13134
離島,老圍村,,13135
觀塘,凱滙3座,,13136
離島,竹篙灣檢疫中心,,13136
離島,䃟石灣村,,13137
離島,老圍村,,13138
離島,龍田邨天寧樓,,13139
離島,裕玥閣A座,,13140
離島,香港東涌福朋喜來登酒店,,13141
沙田,錦豐苑錦蓉閣,,13142
離島,竹篙灣檢疫中心,,13142
葵青,長康邨康貴樓,,13143
離島,竹篙灣檢疫中心,,13143
觀塘,凱滙3座,,13144
離島,竹篙灣檢疫中心,,13144
葵青,葵涌邨映葵樓,,13145
葵青,大窩口邨富強樓,,13146
觀塘,藍田邨藍碧樓,,13147
深水埗,惠珍樓,,13148
離島,賞濤軒1座,,13149
離島,竹篙灣檢疫中心,,13149
離島,映濤軒7座,,13150
離島,竹篙灣檢疫中心,,13150
東區,香港大廈,,13151
離島,竹篙灣檢疫中心,,13151
離島,映濤軒7座,,13152
離島,竹篙灣檢疫中心,,13152
葵青,葵涌邨逸葵樓,,13153
離島,竹篙灣檢疫中心,,13153
南區,香港仔中心港昌閣,,13154
葵青,大窩口邨富德樓,,13155
沙田,水泉澳邨竹泉樓,,13156
中西區,高街 1A號,,13157
葵青,葵涌邨逸葵樓,,13158
葵青,葵涌邨映葵樓,,13159
葵青,葵涌邨逸葵樓,,13162
東區,鯉魚門公園及度假村,,13162
離島,藍天海岸影岸紅A座,,13163
葵青,葵涌邨映葵樓,,13167
葵青,葵涌邨逸葵樓,,13168
荃灣,荃灣西如心酒店,,13169
葵青,葵涌邨曉葵樓,,13169
葵青,葵涌邨逸葵樓,,13170
葵青,葵涌邨逸葵樓,,13171
葵青,葵涌邨逸葵樓,,13172
葵青,葵涌邨逸葵樓,,13182
葵青,葵涌邨逸葵樓,,13183
葵青,葵涌邨逸葵樓,,13184
葵青,葵涌邨逸葵樓,,13185
葵青,葵涌邨逸葵樓,,13186
葵青,葵涌邨逸葵樓,,13187
葵青,葵涌邨逸葵樓,,13188
葵青,葵涌邨逸葵樓,,13189
葵青,葵涌邨逸葵樓,,13190
葵青,葵涌邨逸葵樓,,13191
葵青,葵涌邨逸葵樓,,13192
葵青,葵涌邨逸葵樓,,13193
葵青,葵涌邨逸葵樓,,13194
葵青,葵涌邨逸葵樓,,13195
葵青,葵涌邨逸葵樓,,13196
葵青,葵涌邨逸葵樓,,13197
葵青,葵涌邨逸葵樓,,13198
葵青,葵涌邨逸葵樓,,13199
葵青,葵涌邨逸葵樓,,13200
葵青,葵涌邨逸葵樓,,13201
葵青,葵涌邨逸葵樓,,13202
葵青,葵涌邨逸葵樓,,13203
葵青,葵涌邨逸葵樓,,13204
葵青,葵涌邨逸葵樓,,13205
葵青,葵涌邨逸葵樓,,13206
葵青,葵涌邨逸葵樓,,13207
葵青,葵涌邨逸葵樓,,13208
葵青,葵涌邨逸葵樓,,13209
葵青,葵涌邨逸葵樓,,13210
葵青,葵涌邨逸葵樓,,13211
葵青,葵涌邨逸葵樓,,13212
葵青,葵涌邨逸葵樓,,13213
葵青,葵涌邨逸葵樓,,13214
葵青,葵涌邨逸葵樓,,13215
葵青,葵涌邨逸葵樓,,13216
葵青,葵涌邨逸葵樓,,13217
深水埗,祥康大廈,,13218
葵青,葵涌邨映葵樓,,13219
離島,貝澳新圍村,,13220
灣仔,白建時道,,13221
葵青,葵涌邨逸葵樓,,13222
葵青,葵涌邨逸葵樓,,13223
葵青,葵涌邨逸葵樓,,13224
葵青,葵涌邨逸葵樓,,13225
葵青,葵涌邨逸葵樓,,13226
葵青,葵涌邨逸葵樓,,13227
葵青,葵涌邨逸葵樓,,13228
葵青,葵涌邨逸葵樓,,13229
葵青,葵涌邨逸葵樓,,13230
葵青,葵涌邨逸葵樓,,13231
葵青,葵涌邨逸葵樓,,13232
葵青,葵涌邨逸葵樓,,13233
葵青,葵涌邨逸葵樓,,13234
葵青,葵涌邨逸葵樓,,13235
葵青,葵涌邨逸葵樓,,13236
葵青,葵涌邨逸葵樓,,13237
葵青,葵涌邨逸葵樓,,13238
葵青,葵涌邨逸葵樓,,13239
葵青,葵涌邨逸葵樓,,13240
葵青,葵涌邨逸葵樓,,13241
葵青,葵涌邨逸葵樓,,13242
葵青,葵涌邨逸葵樓,,13243
葵青,葵涌邨逸葵樓,,13244
葵青,葵涌邨逸葵樓,,13245
葵青,葵涌邨逸葵樓,,13246
葵青,葵涌邨逸葵樓,,13247
葵青,葵涌邨逸葵樓,,13248
葵青,葵涌邨逸葵樓,,13249
葵青,葵涌邨逸葵樓,,13250
葵青,葵涌邨逸葵樓,,13251
葵青,葵涌邨逸葵樓,,13252
葵青,葵涌邨逸葵樓,,13253
葵青,葵涌邨逸葵樓,,13254
黃大仙,彩雲(一)邨星辰樓,,13255
葵青,新葵芳花園C座,,13256
沙田,美柏苑,,13257
葵青,葵涌邨逸葵樓,,13258
屯門,錦暉花園1座,,13259
葵青,葵涌邨逸葵樓,,13260
葵青,葵涌邨映葵樓,,13261
葵青,葵涌邨逸葵樓,,13262
荃灣,名逸居1座,,13263
離島,竹篙灣檢疫中心,,13263
荃灣,名逸居1座,,13264
離島,竹篙灣檢疫中心,,13264
深水埗,長沙灣邨長欣樓,,13265
離島,竹篙灣檢疫中心,,13265
深水埗,長沙灣邨長欣樓,,13266
離島,竹篙灣檢疫中心,,13266
南區,香港仔中心港昌閣,,13267
離島,竹篙灣檢疫中心,,13267
深水埗,惠珍樓,,13268
離島,竹篙灣檢疫中心,,13268
九龍城,富豪東方酒店,,13269
沙田,新生精神康復會思悅園,,13270
葵青,葵涌邨逸葵樓,,13271
葵青,葵涌邨逸葵樓,,13272
葵青,葵涌邨逸葵樓,,13273
葵青,葵涌邨逸葵樓,,13274
葵青,葵涌邨逸葵樓,,13275
葵青,葵涌邨逸葵樓,,13276
葵青,葵涌邨逸葵樓,,13277
葵青,葵涌邨逸葵樓,,13278
葵青,葵涌邨逸葵樓,,13279
葵青,葵涌邨逸葵樓,,13280
荃灣,排棉角村,,13281
沙田,新港城4期E座,,13282
離島,逸東(二)邨德逸樓,,13283
油尖旺,御金國峯1座,,13284
葵青,葵康苑葵明閣,,13285
葵青,葵涌邨映葵樓,,13286
葵青,葵涌邨映葵樓,,13287
葵青,葵涌邨映葵樓,,13288
葵青,葵涌邨映葵樓,,13289
葵青,葵涌邨映葵樓,,13290
葵青,葵涌邨雅葵樓,,13291
深水埗,寶喜大廈,,13292
荃灣,名逸居1座,,13293
離島,竹篙灣檢疫中心,,13293
離島,滿東邨滿和樓,,13294
葵青,葵涌邨逸葵樓,,13295
葵青,葵涌邨逸葵樓,,13296
葵青,葵涌邨逸葵樓,,13297
葵青,葵涌邨逸葵樓,,13298
葵青,葵涌邨逸葵樓,,13299
葵青,葵涌邨逸葵樓,,13300
葵青,葵涌邨映葵樓,,13301
葵青,葵涌邨逸葵樓,,13302
葵青,葵涌邨逸葵樓,,13303
葵青,葵涌邨逸葵樓,,13304
東區,明華大廈1座,,13305
荃灣,海韻花園5座,,13306
荃灣,名逸居1座,,13307
離島,竹篙灣檢疫中心,,13307
葵青,葵涌邨映葵樓,,13308
葵青,葵涌邨映葵樓,,13309
葵青,葵涌邨映葵樓,,13310
沙田,水泉澳邨竹泉樓,,13311
沙田,禾輋邨富和樓,,13312
觀塘,和樂邨居安樓,,13315
葵青,葵涌邨映葵樓,,13318
葵青,葵涌邨映葵樓,,13319
葵青,葵涌邨映葵樓,,13320
葵青,葵涌邨映葵樓,,13321
葵青,葵涌邨映葵樓,,13322
葵青,葵涌邨映葵樓,,13323
葵青,葵涌邨映葵樓,,13324
葵青,葵涌邨映葵樓,,13325
葵青,葵涌邨映葵樓,,13326
葵青,葵涌邨映葵樓,,13327
葵青,葵涌邨映葵樓,,13328
葵青,葵涌邨映葵樓,,13329
葵青,葵涌邨映葵樓,,13330
葵青,葵涌邨映葵樓,,13331
葵青,葵涌邨映葵樓,,13332
葵青,葵涌邨映葵樓,,13333
葵青,葵涌邨映葵樓,,13334
離島,藍天海岸6座,,13335
深水埗,祥康大廈,,13336
葵青,祖堯邨啟勉樓,,13337
荃灣,華成樓B座,,13339
荃灣,荃灣花園榮華閣,,13340
葵青,葵涌邨逸葵樓,,13341
葵青,葵涌邨逸葵樓,,13342
葵青,葵涌邨逸葵樓,,13343
葵青,葵涌邨逸葵樓,,13344
葵青,葵涌邨逸葵樓,,13345
葵青,葵涌邨逸葵樓,,13347
葵青,葵涌邨芊葵樓,,13348
東區,耀東邨耀福樓,,13349
大埔,大埔中心12座,,13349
葵青,葵涌邨逸葵樓,,13350
葵青,葵涌邨逸葵樓,,13351
葵青,葵涌邨碧葵樓,,13352
葵青,葵芳邨葵仁樓,,13353
葵青,葵涌邨映葵樓,,13356
葵青,葵涌邨映葵樓,,13357
葵青,葵涌邨映葵樓,,13358
葵青,葵涌邨映葵樓,,13359
葵青,葵涌邨映葵樓,,13360
葵青,葵涌邨旭葵樓,,13361
葵青,葵涌邨映葵樓,,13362
葵青,葵涌邨映葵樓,,13363
葵青,葵涌邨映葵樓,,13364
葵青,葵涌邨雅葵樓,,13365
葵青,葵涌邨雅葵樓,,13366
葵青,長康邨康和樓,,13367
葵青,天安樓,,13368
葵青,葵涌邨春葵樓,,13369
深水埗,慶豐大廈,,13370
葵青,葵涌邨映葵樓,,13371
離島,竹篙灣檢疫中心,,13371
葵青,葵涌邨映葵樓,,13372
離島,竹篙灣檢疫中心,,13372
葵青,葵涌邨逸葵樓,,13373
離島,竹篙灣檢疫中心,,13373
屯門,大興邨興平樓,,13374
離島,福安閣B座,,13375
葵青,葵涌邨逸葵樓,,13376
荃灣,悅來酒店,,13376
葵青,葵涌邨逸葵樓,,13377
離島,竹篙灣檢疫中心,,13377
離島,富豪機場酒店,,13378
九龍城,富薈馬頭圍酒店,,13379
葵青,香港荃灣帝盛酒店,,13380
黃大仙,黃大仙下邨龍樂樓,,13381
黃大仙,豪苑1座,,13382
元朗,嘉湖山莊翠湖居5座,,13383
九龍城,鴻光街35號,,13384
北區,華明邨禮明樓,,13386
葵青,葵涌邨翠葵樓,,13387
葵青,葵涌邨綠葵樓,,13388
沙田,恆安邨恆江樓,,13389
沙田,美田邨美景樓,,13390
北區,皇后山邨皇頤樓,,13391
離島,滿東邨滿順樓,,13392
葵青,葵涌邨百葵樓,,13393
葵青,葵涌邨逸葵樓,,13394
離島,竹篙灣檢疫中心,,13394
元朗,天恩邨恩翠樓,,13395
葵青,葵涌邨逸葵樓,,13395
離島,竹篙灣檢疫中心,,13395
葵青,葵涌邨夏葵樓,,13396
黃大仙,竹園南邨富園樓,,13397
葵青,葵涌邨映葵樓,,13398
黃大仙,曉暉花園5座,,13399
黃大仙,豪苑1座,,13400
深水埗,鉅昌大樓,,13401
離島,竹篙灣檢疫中心,,13401
葵青,大窩口邨富華樓,,13402
深水埗,鉅昌大樓,,13403
離島,竹篙灣檢疫中心,,13403
荃灣,綠楊新邨Ｍ座,,13419
荃灣,荃灣花園榮華閣,,13420
觀塘,和樂邨居安樓,,13423
屯門,海典軒2座,,13424
荃灣,東亞花園長發樓,,13426
元朗,GRANDYOHO 2座,,13427
葵青,大窩口邨富強樓,,13428
葵青,葵涌邨逸葵樓,,13429
葵青,葵涌邨逸葵樓,,13430
葵青,葵涌邨逸葵樓,,13431
葵青,葵涌邨逸葵樓,,13432
葵青,葵涌邨逸葵樓,,13433
葵青,葵涌邨逸葵樓,,13434
葵青,葵涌邨逸葵樓,,13435
葵青,葵涌邨逸葵樓,,13436
葵青,葵涌邨逸葵樓,,13437
葵青,葵涌邨夏葵樓,,13438
葵青,葵涌邨夏葵樓,,13439
葵青,葵涌邨逸葵樓,,13440
葵青,葵涌邨逸葵樓,,13441
葵青,葵涌邨逸葵樓,,13442
葵青,葵涌邨逸葵樓,,13443
葵青,葵涌邨逸葵樓,,13444
葵青,葵涌邨逸葵樓,,13445
葵青,葵涌邨逸葵樓,,13446
葵青,葵涌邨夏葵樓,,13447
北區,嘉福邨福安樓,,13448
離島,水口,,13450
離島,滿東邨滿和樓,,13451
東區,愛東邨愛平樓,,13452
葵青,葵涌邨逸葵樓,,13454
離島,竹篙灣檢疫中心,,13454
荃灣,東亞花園長發樓,,13455
荃灣,東亞花園長發樓,,13456
荃灣,東亞花園長發樓,,13457
葵青,葵涌邨逸葵樓,,13458
離島,竹篙灣檢疫中心,,13458
深水埗,祥康大廈,,13459
葵青,成城大廈,,13460
深水埗,祥康大廈,,13461
葵青,葵涌邨逸葵樓,,13462
葵青,大窩口邨富強樓,,13463
離島,竹篙灣檢疫中心,,13463
黃大仙,黃大仙上邨達善樓,,13464
觀塘,和樂邨居安樓,,13465
葵青,葵涌邨逸葵樓,,13466
葵青,葵涌邨映葵樓,,13467
葵青,葵涌邨逸葵樓,,13468
葵青,葵涌邨夏葵樓,,13469
葵青,葵涌邨夏葵樓,,13470
葵青,葵涌邨夏葵樓,,13471
葵青,葵涌邨夏葵樓,,13472
葵青,葵涌邨旭葵樓,,13473
葵青,葵涌邨映葵樓,,13474
葵青,葵涌邨映葵樓,,13475
大埔,三門仔新村,,13476
黃大仙,豪苑1座,,13477
葵青,葵涌邨映葵樓,,13478
葵青,葵涌邨映葵樓,,13479
黃大仙,竹園北邨桃園樓,,13480
黃大仙,慈民邨民泰樓,,13481
葵青,葵涌邨映葵樓,,13482
灣仔,頤庭酒店銅鑼灣,,13483
灣仔,華麗銅鑼灣酒店,,13484
中西區,蘭桂坊酒店@九如坊,,13485
油尖旺,香港旺角帝盛酒店,,13486
沙田,景田苑恆心閣,,13487
葵青,葵涌邨夏葵樓,,13488
葵青,葵涌邨夏葵樓,,13489
葵青,葵涌邨夏葵樓,,13490
元朗,溱柏10座,,13491
葵青,葵涌邨映葵樓,,13492
離島,竹篙灣檢疫中心,,13492
葵青,葵涌邨逸葵樓,,13493
離島,竹篙灣檢疫中心,,13493
葵青,葵涌邨逸葵樓,,13494
離島,竹篙灣檢疫中心,,13494
葵青,葵涌邨逸葵樓,,13495
離島,竹篙灣檢疫中心,,13495
葵青,葵涌邨逸葵樓,,13496
離島,竹篙灣檢疫中心,,13496
葵青,葵涌邨逸葵樓,,13497
離島,竹篙灣檢疫中心,,13497
離島,竹篙灣檢疫中心,,13498
葵青,葵涌邨映葵樓,,13499
葵青,葵涌邨逸葵樓,,13500
葵青,大窩口邨富華樓,,13501
離島,竹篙灣檢疫中心,,13501
元朗,原築2座,,13502
離島,竹篙灣檢疫中心,,13502
葵青,葵涌邨翠葵樓,,13503
九龍城,鴻光街35號,,13504
九龍城,鴻光街35號,,13505
大埔,雲滙1期,,13506
葵青,葵馥苑安葵樓,,13507
葵青,葵涌邨雅葵樓,,13508
深水埗,鉅昌大樓,,13509
離島,逸東邨寶逸樓,,13510
離島,竹篙灣檢疫中心,,13510
油尖旺,大南街136號,,13511
深水埗,元州街26號惠珍樓,,13512
離島,竹篙灣檢疫中心,,13512
葵青,葵涌邨春葵樓,,13513
葵青,葵涌邨逸葵樓,,13514
葵青,大窩口邨富德樓,,13515
中西區,高街1A,,13516
離島,馬灣新村,,13517
離島,馬灣新村,,13518
荃灣,東亞花園長發樓,,13519
離島,竹篙灣檢疫中心,,13513
離島,竹篙灣檢疫中心,,13514
離島,竹篙灣檢疫中心,,13515
離島,竹篙灣檢疫中心,,13517
離島,竹篙灣檢疫中心,,13518
沙田,烏溪沙村四巷,,13525
黃大仙,豪苑1座,,13526
黃大仙,豪苑1座,,13527
觀塘,香港觀塘帝盛酒店,,13527
沙田,恆安邨恆江樓,,13528
離島,竹篙灣檢疫中心,,13528
沙田,恆安邨恆江樓,,13528
離島,竹篙灣檢疫中心,,13528
離島,竹篙灣檢疫中心,,13529
葵青,新葵芳花園D座,,13530
大埔,廣褔邨廣仁樓,,13531
離島,大嶼山䃟石灣村,,13532
離島,竹篙灣檢疫中心,,13532
沙田,駿洋邨駿爾樓,,13533
葵青,葵涌邨逸葵樓,,13534
離島,竹篙灣檢疫中心,,13534
葵青,葵涌邨逸葵樓,,13535
離島,竹篙灣檢疫中心,,13535
葵青,葵涌邨逸葵樓,,13536
葵青,葵涌邨逸葵樓,,13537
離島,竹篙灣檢疫中心,,13537
葵青,葵涌邨逸葵樓,,13538
黃大仙,彩雲(一)邨長波樓,,13539
葵青,葵涌邨逸葵樓,,13540
離島,竹篙灣檢疫中心,,13540
黃大仙,彩雲(一)邨長波樓,,13541
葵青,葵涌邨春葵樓,,13542
葵青,葵涌邨夏葵樓,,13543
葵青,葵涌邨夏葵樓,,13544
葵青,葵涌邨逸葵樓,,13545
葵青,葵涌邨逸葵樓,,13546
葵青,葵涌邨逸葵樓,,13547
葵青,葵涌邨逸葵樓,,13548
葵青,葵涌邨逸葵樓,,13549
葵青,葵涌邨逸葵樓,,13550
葵青,葵涌邨逸葵樓,,13551
葵青,葵涌邨逸葵樓,,13552
葵青,葵涌邨逸葵樓,,13553
葵青,葵涌邨逸葵樓,,13554
葵青,葵涌邨逸葵樓,,13555
葵青,葵涌邨逸葵樓,,13556
葵青,葵涌邨逸葵樓,,13557
葵青,葵涌邨逸葵樓,,13558
屯門,良景邨良偉樓,,13565
荃灣,荃昌中心昌寧大廈,,13566
葵青,葵涌邨映葵樓,,13567
葵青,葵涌邨映葵樓,,13568
葵青,葵涌邨映葵樓,,13569
離島,竹篙灣檢疫中心,,13569
葵青,葵涌邨映葵樓,,13570
葵青,葵涌邨映葵樓,,13571
葵青,葵涌邨映葵樓,,13572
離島,竹篙灣檢疫中心,,13572
葵青,葵涌邨映葵樓,,13573
葵青,葵涌邨映葵樓,,13574
葵青,葵涌邨映葵樓,,13575
葵青,葵涌邨映葵樓,,13576
葵青,葵涌邨映葵樓,,13577
葵青,葵涌邨映葵樓,,13578
葵青,葵涌邨映葵樓,,13579
葵青,葵涌邨映葵樓,,13580
葵青,葵涌邨逸葵樓,,13581
葵青,葵涌邨映葵樓,,13582
離島,藍天海岸影岸紅A座,,13583
葵青,葵涌邨逸葵樓,,13584
離島,竹篙灣檢疫中心,,13584
葵青,葵涌邨逸葵樓,,13585
深水埗,祥康大廈,,13586
離島,竹篙灣檢疫中心,,13586
深水埗,祥康大廈,,13587
葵青,葵涌邨逸葵樓,,13588
離島,竹篙灣檢疫中心,,13588
葵青,葵涌邨映葵樓,,13589
離島,竹篙灣檢疫中心,,13589
觀塘,藍田邨藍碧樓,,13590
離島,竹篙灣檢疫中心,,13590
黃大仙,慈愛苑愛勤閣,,13591
九龍城,勝利道一號,,13592
葵青,葵涌邨逸葵樓,,13593
離島,竹篙灣檢疫中心,,13593
沙田,駿洋邨駿爾樓,,13594
沙田,駿洋邨駿爾樓,,13595
葵青,葵涌邨逸葵樓,,13596
離島,竹篙灣檢疫中心,,13596
葵青,葵涌邨逸葵樓,,13597
離島,竹篙灣檢疫中心,,13597
離島,葵涌葵涌邨逸葵樓,,13598
離島,竹篙灣檢疫中心,,13598
葵青,葵涌邨逸葵樓,,13599
離島,竹篙灣檢疫中心,,13599
葵青,葵涌邨逸葵樓,,13600
離島,竹篙灣檢疫中心,,13600
葵青,葵涌邨逸葵樓,,13601
離島,竹篙灣檢疫中心,,13601
葵青,葵涌邨逸葵樓,,13602
離島,竹篙灣檢疫中心,,13602
葵青,葵涌邨逸葵樓,,13603
離島,竹篙灣檢疫中心,,13603
葵青,葵涌邨逸葵樓,,13604
離島,竹篙灣檢疫中心,,13604
葵青,葵涌邨逸葵樓,,13606
離島,竹篙灣檢疫中心,,13606
荃灣,平愛大廈,,13607
荃灣,錦豐園1座,,13608
荃灣,荃灣花園吉祥閣,,13609
深水埗,美孚新邨3期百老匯街41-43號,,13610
觀塘,寶達邨達信樓,,13611
葵青,宏福花園2座,,13612
九龍城,立基大廈,,13613
東區,富怡花園1座,,13614
離島,藍天海岸影岸紅B座,,13615
離島,藍天海岸影岸紅B座,,13616
離島,藍天海岸影岸紅B座,,13617
葵青,葵涌邨逸葵樓,,13618
離島,竹篙灣檢疫中心,,13618
葵青,葵涌邨雅葵樓,,13619
離島,竹篙灣檢疫中心,,13619
葵青,大窩口邨富逸樓,,13620
北區,華明邨信明樓,,13621
黃大仙,豪苑1座,,13622
葵青,大窩口邨富強樓,,13623
離島,藍天海岸影岸紅A座,,13624
深水埗,元州街31號,,13625
葵青,葵涌邨逸葵樓,,13626
葵青,葵涌邨逸葵樓,,13627
葵青,葵涌邨逸葵樓,,13628
葵青,葵涌邨逸葵樓,,13629
葵青,葵涌邨逸葵樓,,13630
葵青,葵涌邨逸葵樓,,13631
葵青,葵涌邨逸葵樓,,13632
離島,竹篙灣檢疫中心,,13632
荃灣,浪翠園3期8座,,13634
離島,竹篙灣檢疫中心,,13634
葵青,葵涌邨逸葵樓,,13635
離島,竹篙灣檢疫中心,,13635
葵青,葵涌邨逸葵樓,,13636
離島,竹篙灣檢疫中心,,13636
沙田,碧田街2號美柏苑,,13637
離島,竹篙灣檢疫中心,,13637
沙田,碧田街2號美柏苑,,13638
離島,竹篙灣檢疫中心,,13638
沙田,新翠邨新芳樓,,13639
離島,竹篙灣檢疫中心,,13639
葵青,葵涌邨逸葵樓,,13640
離島,竹篙灣檢疫中心,,13640
葵青,葵涌邨逸葵樓,,13641
離島,竹篙灣檢疫中心,,13641
葵青,葵涌邨逸葵樓,,13642
離島,竹篙灣檢疫中心,,13642
葵青,大窩口邨富德樓,,13643
離島,竹篙灣檢疫中心,,13643
葵青,葵涌邨逸葵樓,,13644
離島,竹篙灣檢疫中心,,13644
葵青,葵涌邨逸葵樓,,13645
離島,竹篙灣檢疫中心,,13645
葵青,葵涌邨逸葵樓,,13646
葵青,葵涌邨逸葵樓,,13647
離島,竹篙灣檢疫中心,,13647
離島,滿東邨滿和樓,,13648
離島,竹篙灣檢疫中心,,13648
葵青,葵涌邨映葵樓,,13649
離島,竹篙灣檢疫中心,,13649
葵青,葵涌邨逸葵樓,,13650
離島,竹篙灣檢疫中心,,13650
離島,竹篙灣檢疫中心,,13651
葵青,葵涌邨逸葵樓,,13652
離島,竹篙灣檢疫中心,,13652
葵青,葵涌邨逸葵樓,,13653
離島,竹篙灣檢疫中心,,13653
葵青,葵涌邨映葵樓,,13654
離島,竹篙灣檢疫中心,,13654
深水埗,祥康大廈,,13655
離島,竹篙灣檢疫中心,,13655
葵青,葵涌邨映葵樓,,13656
離島,竹篙灣檢疫中心,,13656
離島,竹篙灣檢疫中心,,13657
離島,竹篙灣檢疫中心,,13658
葵青,葵涌邨逸葵樓,,13659
離島,竹篙灣檢疫中心,,13659
離島,竹篙灣檢疫中心,,13660
葵青,葵涌邨雅葵樓,,13661
離島,竹篙灣檢疫中心,,13661
葵青,葵涌邨逸葵樓,,13662
離島,竹篙灣檢疫中心,,13662
葵青,葵涌邨逸葵樓,,13663
離島,竹篙灣檢疫中心,,13663
葵青,葵涌邨逸葵樓,,13664
離島,竹篙灣檢疫中心,,13664
葵青,葵涌邨映葵樓,,13665
離島,竹篙灣檢疫中心,,13665
葵青,葵涌邨逸葵樓,,13666
離島,竹篙灣檢疫中心,,13666
葵青,葵涌邨逸葵樓,,13667
離島,竹篙灣檢疫中心,,13667
葵青,葵涌邨逸葵樓,,13668
葵青,葵涌邨逸葵樓,,13669
離島,竹篙灣檢疫中心,,13669
葵青,葵涌邨映葵樓,,13671
葵青,葵涌邨逸葵樓,,13672
九龍城,怡安閣C座,,13673
元朗,GRAND YOHO 2座,,13674
葵青,葵涌邨逸葵樓,,13675
葵青,葵涌邨逸葵樓,,13676
葵青,葵涌邨逸葵樓,,13677
九龍城,窩打老道69A號,,13678
葵青,葵涌邨逸葵樓,,13679
葵青,尚文苑,,13680
葵青,宏福花園2座,,13681
葵青,葵涌邨映葵樓,,13682
葵青,葵涌邨映葵樓,,13683
大埔,寶華樓E座,,13684
葵青,葵涌邨逸葵樓,,13685
東區,明華大廈1座,,13686
離島,竹篙灣檢疫中心,,13686
離島,竹篙灣檢疫中心,,13687
葵青,葵涌邨逸葵樓,,13688
葵青,大窩口邨富逸樓,,13689
黃大仙,慈正邨正明樓,,13690
葵青,大窩口邨富逸樓,,13691
觀塘,茂坪紀律部隊宿舍1座,,13692
東區,富怡花園2座,,13693
黃大仙,鳳凰村大廈,,13694
離島,滿東邨滿和樓,,13695
離島,竹篙灣檢疫中心,,13695
